"","Item_Identifier","Item_Weight","Item_Fat_Content","Item_Visibility","Item_Type","Item_MRP","Outlet_Identifier","Outlet_Size","Outlet_Location_Type","Outlet_Type","Item_Outlet_Sales"
"16","FDM24",6.135,"Regular",0.0794507,"Baking Goods",151.6366,"OUT049","Medium","Tier 1","Supermarket Type1",2571.86417959923
"17","FDI57",19.85,"Low Fat",0.05413521,"Seafood",198.7768,"OUT045",NA,"Tier 2","Supermarket Type1",3275.28591093993
"18","DRC12",17.85,"Low Fat",0.037980963,"Soft Drinks",192.2188,"OUT018","Medium","Tier 3","Supermarket Type2",2738.16237557396
"19","NCM42",NA,"Low Fat",0.028184344,"Household",109.6912,"OUT027","Medium","Tier 3","Supermarket Type3",3187.23381714119
"20","FDA46",13.6,"Low Fat",0.196897637,"Snack Foods",193.7136,"OUT010",NA,"Tier 3","Grocery Store",1162.50605784768
"21","FDA31",7.1,"Low Fat",0.109920138,"Fruits and Vegetables",175.008,"OUT013","High","Tier 3","Supermarket Type1",2856.5899544027
"22","NCJ31",19.2,"Low Fat",0.182619235,"Others",239.9196,"OUT035","Small","Tier 2","Supermarket Type1",3908.6868684827
"23","FDG52",13.65,"LF",0.065630844,"Frozen Foods",47.7402,"OUT046","Small","Tier 1","Supermarket Type1",743.216626185986
"24","NCL19",NA,"Low Fat",0.027447057,"Others",142.347,"OUT019","Small","Tier 1","Grocery Store",349.091887731482
"25","FDS10",19.2,"Low Fat",0.035178935,"Snack Foods",180.7318,"OUT035","Small","Tier 2","Supermarket Type1",2993.71264455197
"26","FDX22",6.785,"Regular",0.038455125,"Snack Foods",209.4928,"OUT010",NA,"Tier 3","Grocery Store",1462.97634168905
"27","NCF19",13,"Low Fat",0.035102094,"Household",47.6034,"OUT035","Small","Tier 2","Supermarket Type1",907.2730062851
"28","NCE06",5.825,"Low Fat",0.091485232,"Household",161.3894,"OUT046","Small","Tier 1","Supermarket Type1",2549.18549547232
"29","DRC27",13.8,"Low Fat",0.058102469,"Dairy",244.6802,"OUT046","Small","Tier 1","Supermarket Type1",3825.97978546453
"30","FDE21",12.8,"LF",0.022940349,"Fruits and Vegetables",116.5492,"OUT035","Small","Tier 2","Supermarket Type1",2016.0089440967
"31","NCR42",NA,"Low Fat",0.06737681,"Household",32.09,"OUT019","Small","Tier 1","Grocery Store",-1376.84748692596
"32","FDX51",9.5,"Regular",0.022148582,"Meat",194.9452,"OUT018","Medium","Tier 3","Supermarket Type2",2868.00831184424
"33","NCR06",12.5,"Low Fat",0.006792707,"Household",42.4112,"OUT018","Medium","Tier 3","Supermarket Type2",407.109079202381
"34","FDU31",NA,"Regular",0.024870035,"Fruits and Vegetables",217.7508,"OUT027","Medium","Tier 3","Supermarket Type3",4971.96660225181
"35","FDU59",5.78,"Low Fat",0.096931426,"Breads",164.2552,"OUT017",NA,"Tier 2","Supermarket Type1",2693.11971033364
"36","FDR03",NA,"Regular",0.008693632,"Meat",205.098,"OUT027","Medium","Tier 3","Supermarket Type3",4750.57893751322
"37","FDS49",NA,"Low Fat",0.078961284,"Canned",80.3644,"OUT027","Medium","Tier 3","Supermarket Type3",2790.45010456608
"38","FDD48",10.395,"Low Fat",0.050479463,"Baking Goods",114.0176,"OUT010",NA,"Tier 3","Grocery Store",-61.4653289057847
"39","NCF18",18.35,"Low Fat",0.089485918,"Household",192.1504,"OUT017",NA,"Tier 2","Supermarket Type1",3064.06274525312
"40","NCD43",NA,"Low Fat",0.01594238,"Household",103.3964,"OUT027","Medium","Tier 3","Supermarket Type3",3087.46495853204
"41","NCD54",21.1,"Low Fat",0.029127115,"Household",143.3786,"OUT018","Medium","Tier 3","Supermarket Type2",1962.53525043786
"42","FDY19",19.75,"LF",0.069236421,"Fruits and Vegetables",116.6466,"OUT010",NA,"Tier 3","Grocery Store",-39.5425870851968
"43","NCY54",8.43,"Low Fat",0.178699961,"Household",173.9422,"OUT017",NA,"Tier 2","Supermarket Type1",2827.93427453859
"44","NCL19",15.35,"Low Fat",0.015740089,"Others",144.847,"OUT018","Medium","Tier 3","Supermarket Type2",2015.73665883673
"45","FDP23",6.71,"Low Fat",0.059565107,"Breads",217.2166,"OUT010",NA,"Tier 3","Grocery Store",1555.06878495196
"46","FDC26",10.195,"Low Fat",0.126277921,"Canned",112.1886,"OUT013","High","Tier 3","Supermarket Type1",1867.53397035583
"47","FDR14",11.65,"Low Fat",0.291322397,"Dairy",55.8298,"OUT010",NA,"Tier 3","Grocery Store",-1039.17892971064
"48","NCS41",12.85,"Low Fat",0.053433908,"Health and Hygiene",183.2608,"OUT035","Small","Tier 2","Supermarket Type1",3048.61499809914
"49","FDF41",12.15,"Low Fat",0.131155007,"Frozen Foods",248.146,"OUT035","Small","Tier 2","Supermarket Type1",4041.11344207793
"50","FDU34",18.25,"Low Fat",0.075194929,"Snack Foods",124.9046,"OUT046","Small","Tier 1","Supermarket Type1",1983.52737315061
"51","DRH11",5.98,"Low Fat",0.075557965,"Hard Drinks",57.0614,"OUT046","Small","Tier 1","Supermarket Type1",958.981494457063
"52","FDM03",12.65,"Low Fat",0.122928415,"Meat",106.6938,"OUT013","High","Tier 3","Supermarket Type1",1753.92702013145
"53","FDS31",13.1,"Regular",0.044442342,"Fruits and Vegetables",181.0318,"OUT017",NA,"Tier 2","Supermarket Type1",3075.0095676868
"54","FDJ20",20.7,"Regular",0.100741569,"Fruits and Vegetables",122.3388,"OUT017",NA,"Tier 2","Supermarket Type1",2082.38370323847
"55","FDV44",NA,"Regular",0.039651481,"Fruits and Vegetables",188.7188,"OUT027","Medium","Tier 3","Supermarket Type3",4520.5675151021
"56","FDG02",7.855,"Low Fat",0.011278673,"Canned",188.8188,"OUT049","Medium","Tier 1","Supermarket Type1",3131.36378882157
"57","FDA09",13.35,"Regular",0,"Snack Foods",179.666,"OUT013","High","Tier 3","Supermarket Type1",2917.44033527357
"58","FDT04",17.25,"LF",0.106952661,"Frozen Foods",38.3822,"OUT013","High","Tier 3","Supermarket Type1",620.973489476245
"59","FDL58",NA,"Regular",0.129825457,"Snack Foods",263.2568,"OUT019","Small","Tier 1","Grocery Store",2281.33187914862
"60","FDE52",10.395,"Regular",0.029947409,"Dairy",90.1514,"OUT045",NA,"Tier 2","Supermarket Type1",1392.79597360499
"61","FDW12",8.315,"Regular",0.035565457,"Baking Goods",144.8444,"OUT035","Small","Tier 2","Supermarket Type1",2508.17331443784
"62","FDL51",20.7,"Regular",0.047760002,"Dairy",214.9876,"OUT017",NA,"Tier 2","Supermarket Type1",3516.96089988886
"63","NCY42",NA,"Low Fat",0.015089147,"Household",141.347,"OUT027","Medium","Tier 3","Supermarket Type3",3677.18630159126
"64","FDR07",21.35,"Low Fat",0.07818366,"Fruits and Vegetables",96.8094,"OUT017",NA,"Tier 2","Supermarket Type1",1706.39149590472
"65","FDN40",5.88,"Low Fat",0.086632125,"Frozen Foods",152.6998,"OUT045",NA,"Tier 2","Supermarket Type1",2348.20004524569
"66","FDB35",NA,"Regular",0.064306056,"Starchy Foods",90.3804,"OUT027","Medium","Tier 3","Supermarket Type3",2988.45962629563
"67","FDA22",7.435,"low fat",0.08493006,"Starchy Foods",165.8158,"OUT017",NA,"Tier 2","Supermarket Type1",2783.52381488784
"68","NCL06",14.65,"Low Fat",0.072066634,"Household",262.5594,"OUT046","Small","Tier 1","Supermarket Type1",4107.33915573115
"69","FDI35",14,"Low Fat",0.041256807,"Starchy Foods",181.2634,"OUT013","High","Tier 3","Supermarket Type1",2935.0304058862
"70","NCW42",18.2,"Low Fat",0.058587558,"Household",221.6456,"OUT045",NA,"Tier 2","Supermarket Type1",3387.64940740825
"71","NCX06",17.6,"Low Fat",0.015711434,"Household",180.0976,"OUT049","Medium","Tier 1","Supermarket Type1",2914.87237118622
"72","FDC37",NA,"Low Fat",0.032714163,"Baking Goods",108.1938,"OUT027","Medium","Tier 3","Supermarket Type3",3192.07842460962
"73","FDZ14",7.71,"Regular",0.047782552,"Dairy",122.3756,"OUT018","Medium","Tier 3","Supermarket Type2",1698.23759942851
"74","DRG49",7.81,"Low Fat",0.067560171,"Soft Drinks",245.2486,"OUT049","Medium","Tier 1","Supermarket Type1",3956.79475347366
"75","NCG06",16.35,"Low Fat",0.029505077,"Household",256.2646,"OUT045",NA,"Tier 2","Supermarket Type1",3930.05521931631
"76","DRC36",13,"Regular",0.045076104,"Soft Drinks",173.7054,"OUT045",NA,"Tier 2","Supermarket Type1",2702.3572310706
"77","FDV21",NA,"Low Fat",0.299544153,"Snack Foods",124.8704,"OUT019","Small","Tier 1","Grocery Store",86.296404683707
"78","FDB53",13.35,"Low Fat",0.139452413,"Frozen Foods",148.6392,"OUT046","Small","Tier 1","Supermarket Type1",2346.91108378908
"79","DRP47",NA,"Low Fat",0.246178257,"Hard Drinks",252.4382,"OUT019","Small","Tier 1","Grocery Store",2076.77032346264
"80","FDA14",16.1,"LF",0.065128984,"Dairy",145.176,"OUT013","High","Tier 3","Supermarket Type1",2270.45839817895
"81","DRC24",17.85,"Low Fat",0.024816585,"Soft Drinks",152.6998,"OUT035","Small","Tier 2","Supermarket Type1",2543.27164597761
"82","FDW21",5.34,"Regular",0.005988175,"Snack Foods",100.6358,"OUT018","Medium","Tier 3","Supermarket Type2",1394.79251400704
"83","NCH29",5.51,"Low Fat",0.034473804,"Health and Hygiene",97.3726,"OUT046","Small","Tier 1","Supermarket Type1",1582.58885379228
"84","FDU58",6.61,"Regular",0.028987582,"Snack Foods",188.6898,"OUT013","High","Tier 3","Supermarket Type1",3070.68061354975
"85","FDY27",6.38,"Low Fat",0.032078604,"Dairy",177.6344,"OUT017",NA,"Tier 2","Supermarket Type1",2856.12605326754
"86","FDV56",16.1,"Regular",0.013593151,"Fruits and Vegetables",108.9596,"OUT035","Small","Tier 2","Supermarket Type1",1966.01149304454
"87","FDT59",13.65,"LF",0.015911432,"Breads",230.5668,"OUT046","Small","Tier 1","Supermarket Type1",3618.22158907265
"88","FDB23",19.2,"Regular",0.005588601,"Starchy Foods",225.5062,"OUT046","Small","Tier 1","Supermarket Type1",3625.56762450014
"89","FDR49",8.71,"Low Fat",0.139510771,"Canned",46.2376,"OUT045",NA,"Tier 2","Supermarket Type1",737.389437834156
"90","FDB03",17.75,"Regular",0.262504325,"Dairy",242.2538,"OUT010",NA,"Tier 3","Grocery Store",1921.69926796771
"91","FDN39",19.35,"Regular",0,"Meat",165.7816,"OUT045",NA,"Tier 2","Supermarket Type1",2596.63435506533
"92","FDX02",NA,"Low Fat",0.056783774,"Dairy",223.1404,"OUT027","Medium","Tier 3","Supermarket Type3",4938.60004532538
"93","FDQ16",NA,"Low Fat",0.041536279,"Frozen Foods",107.7912,"OUT027","Medium","Tier 3","Supermarket Type3",3162.17862146941
"94","FDU35",6.44,"Low Fat",0.079538056,"Breads",99.47,"OUT018","Medium","Tier 3","Supermarket Type2",1346.27771264381
"95","NCT29",12.6,"Low Fat",0.064057374,"Health and Hygiene",122.1414,"OUT013","High","Tier 3","Supermarket Type1",1984.97195445376
"96","FDZ27",7.935,"Low Fat",0.017156262,"Dairy",48.135,"OUT046","Small","Tier 1","Supermarket Type1",777.548866371278
"97","FDN57",18.25,"Low Fat",0.054540968,"Snack Foods",140.4154,"OUT017",NA,"Tier 2","Supermarket Type1",2284.7417330515
"98","FDA03",18.5,"Regular",0.045648973,"Dairy",145.6102,"OUT018","Medium","Tier 3","Supermarket Type2",2039.47786550676
"99","FDZ36",6.035,"Regular",0.065917194,"Baking Goods",185.724,"OUT045",NA,"Tier 2","Supermarket Type1",2929.83122166988
"100","NCU05",11.8,"Low Fat",0.058687359,"Health and Hygiene",81.1618,"OUT013","High","Tier 3","Supermarket Type1",1348.57408510691
"101","FDT39",6.26,"Regular",0.009908113,"Meat",151.1366,"OUT018","Medium","Tier 3","Supermarket Type2",2192.19555358226
"102","FDK60",16.5,"Regular",0.094395215,"Baking Goods",97.2068,"OUT017",NA,"Tier 2","Supermarket Type1",1732.50290718906
"103","FDZ25",15.7,"Regular",0.02777326,"Canned",169.279,"OUT017",NA,"Tier 2","Supermarket Type1",2881.82552533752
"104","FDG12",6.635,"reg",0.006326106,"Baking Goods",122.1098,"OUT046","Small","Tier 1","Supermarket Type1",1910.38154734589
"105","DRB01",NA,"low fat",0.143990546,"Soft Drinks",191.553,"OUT019","Small","Tier 1","Grocery Store",1158.69135136533
"106","NCC43",NA,"Low Fat",0.09233359,"Household",250.6066,"OUT027","Medium","Tier 3","Supermarket Type3",5371.46075855357
"107","FDX13",NA,"Low Fat",0.083661793,"Canned",248.6092,"OUT019","Small","Tier 1","Grocery Store",2054.04625902571
"108","FDM22",14,"Regular",0.042022999,"Snack Foods",53.064,"OUT049","Medium","Tier 1","Supermarket Type1",1011.96773455161
"109","FDJ03",NA,"Regular",0.072044336,"Dairy",48.8692,"OUT027","Medium","Tier 3","Supermarket Type3",2275.49067097879
"110","FDU14",17.75,"Low Fat",0,"Dairy",249.775,"OUT018","Medium","Tier 3","Supermarket Type2",3620.4629581016
"111","FDB33",17.75,"Low Fat",0.024404214,"Fruits and Vegetables",159.0262,"OUT010",NA,"Tier 3","Grocery Store",627.907775263986
"112","FDP27",8.155,"Low Fat",0.119450639,"Meat",190.653,"OUT046","Small","Tier 1","Supermarket Type1",3039.15401880536
"113","FDO38",17.25,"Low Fat",0.121917641,"Canned",76.6986,"OUT010",NA,"Tier 3","Grocery Store",-629.497242538515
"114","FDE28",NA,"Regular",0.131905128,"Frozen Foods",232.0668,"OUT027","Medium","Tier 3","Supermarket Type3",5135.66803544927
"115","FDO27",6.175,"Regular",0.179043614,"Meat",95.3752,"OUT035","Small","Tier 2","Supermarket Type1",1744.62669707456
"116","DRL23",NA,"Low Fat",0.0152302,"Hard Drinks",107.0938,"OUT027","Medium","Tier 3","Supermarket Type3",3169.2710113139
"117","FDS28",8.18,"Regular",0.082401592,"Frozen Foods",55.9588,"OUT046","Small","Tier 1","Supermarket Type1",955.915828329681
"118","FDX24",8.355,"Low Fat",0.013917468,"Baking Goods",92.5462,"OUT013","High","Tier 3","Supermarket Type1",1539.36782960079
"119","FDZ02",6.905,"Regular",0.038140213,"Dairy",96.3726,"OUT035","Small","Tier 2","Supermarket Type1",1715.27046065665
"120","FDL46",20.35,"Low Fat",0.054166556,"Snack Foods",116.9466,"OUT045",NA,"Tier 2","Supermarket Type1",1779.59516464463
"121","FDS60",NA,"Low Fat",0.03229139,"Baking Goods",178.766,"OUT027","Medium","Tier 3","Supermarket Type3",4286.72199096806
"122","NCO06",19.25,"Low Fat",0.108641498,"Household",33.0558,"OUT017",NA,"Tier 2","Supermarket Type1",585.79324042985
"123","FDO16",5.48,"Low Fat",0.015105338,"Frozen Foods",84.625,"OUT035","Small","Tier 2","Supermarket Type1",1508.28273905201
"124","FDC60",5.425,"Regular",0.114650377,"Baking Goods",87.3514,"OUT049","Medium","Tier 1","Supermarket Type1",1572.50650102227
"125","FDA48",12.1,"Low Fat",0.115342009,"Baking Goods",220.2114,"OUT018","Medium","Tier 3","Supermarket Type2",3211.99540513744
"126","FDZ36",NA,"Regular",0,"Baking Goods",186.424,"OUT027","Medium","Tier 3","Supermarket Type3",4455.9346792609
"127","FDK27",11,"Low Fat",0.00896468,"Meat",120.6756,"OUT045",NA,"Tier 2","Supermarket Type1",1896.8943333354
"128","FDW23",5.765,"Low Fat",0.082346376,"Baking Goods",38.8164,"OUT018","Medium","Tier 3","Supermarket Type2",400.292314162458
"129","FDM14",13.8,"Low Fat",0.013318,"Canned",110.1254,"OUT018","Medium","Tier 3","Supermarket Type2",1520.99483601276
"130","FDM14",13.8,"Low Fat",0.01325293,"Canned",108.2254,"OUT013","High","Tier 3","Supermarket Type1",1799.00997847373
"131","FDW60",5.44,"Regular",0.017131453,"Baking Goods",177.837,"OUT018","Medium","Tier 3","Supermarket Type2",2606.9173489786
"132","FDE21",12.8,"Low Fat",0.022925594,"Fruits and Vegetables",116.4492,"OUT013","High","Tier 3","Supermarket Type1",1934.2279222337
"133","NCM42",6.13,"Low Fat",0.028316137,"Household",109.3912,"OUT035","Small","Tier 2","Supermarket Type1",1882.11643263885
"134","FDY59",8.195,"Low Fat",0.052562923,"Baking Goods",93.9462,"OUT010",NA,"Tier 3","Grocery Store",-398.256888279042
"135","DRI49",14.15,"Low Fat",0.1837926,"Soft Drinks",81.3276,"OUT049","Medium","Tier 1","Supermarket Type1",1393.08738458638
"136","FDT28",NA,"Low Fat",0.111296158,"Frozen Foods",151.2708,"OUT019","Small","Tier 1","Grocery Store",492.303492115681
"137","FDQ22",16.75,"Low Fat",0.029860799,"Snack Foods",39.5822,"OUT018","Medium","Tier 3","Supermarket Type2",380.846970328034
"138","FDR60",14.3,"LF",0.130617879,"Baking Goods",76.5328,"OUT049","Medium","Tier 1","Supermarket Type1",1312.88265520817
"139","FDC50",NA,"LF",0.238990225,"Canned",94.7094,"OUT019","Small","Tier 1","Grocery Store",-372.846341728249
"140","FDV24",5.635,"Low Fat",0.103186396,"Baking Goods",151.805,"OUT013","High","Tier 3","Supermarket Type1",2466.9802919382
"141","DRF48",5.73,"Low Fat",0,"Soft Drinks",188.3898,"OUT010",NA,"Tier 3","Grocery Store",1049.39212842997
"142","FDQ47",7.155,"Regular",0.168186376,"Breads",36.5874,"OUT046","Small","Tier 1","Supermarket Type1",685.324576756155
"143","DRN36",15.2,"low fat",0.050255855,"Soft Drinks",97.3752,"OUT049","Medium","Tier 1","Supermarket Type1",1687.91273362187
"144","NCY06",15.25,"Low Fat",0.061173235,"Household",128.5968,"OUT035","Small","Tier 2","Supermarket Type1",2163.80295522221
"145","FDE52",10.395,"Regular",0.029881147,"Dairy",89.5514,"OUT035","Small","Tier 2","Supermarket Type1",1602.47497534492
"146","NCB54",8.76,"Low Fat",0.050154219,"Health and Hygiene",126.9336,"OUT045",NA,"Tier 2","Supermarket Type1",1960.52154488162
"147","NCF31",9.13,"Low Fat",0.051837621,"Household",152.6024,"OUT035","Small","Tier 2","Supermarket Type1",2549.08442301772
"148","FDJ08",NA,"Low Fat",0.11013617,"Fruits and Vegetables",189.7846,"OUT027","Medium","Tier 3","Supermarket Type3",4496.22727197471
"149","NCC07",19.6,"Low Fat",0.024086626,"Household",106.0964,"OUT017",NA,"Tier 2","Supermarket Type1",1722.12494517555
"150","NCD19",NA,"Low Fat",0.013115567,"Household",53.7614,"OUT027","Medium","Tier 3","Supermarket Type3",2311.99178672251
"151","FDL46",20.35,"Low Fat",0,"Snack Foods",118.9466,"OUT049","Medium","Tier 1","Supermarket Type1",1983.57622954512
"152","FDM20",10,"Low Fat",0.038764258,"Fruits and Vegetables",246.2144,"OUT045",NA,"Tier 2","Supermarket Type1",3853.21351671937
"153","NCI06",11.3,"Low Fat",0.07986963,"Household",180.466,"OUT010",NA,"Tier 3","Grocery Store",934.815274164618
"154","DRM11",6.57,"Low Fat",0.066057085,"Hard Drinks",259.3278,"OUT035","Small","Tier 2","Supermarket Type1",4249.41140308349
"155","NCH07",13.15,"Low Fat",0.093044518,"Household",158.4604,"OUT018","Medium","Tier 3","Supermarket Type2",2212.37066269346
"156","FDS23",4.635,"Low Fat",0.140771867,"Breads",129.4994,"OUT013","High","Tier 3","Supermarket Type1",2124.74543976304
"157","FDO49",10.6,"Regular",0.033186809,"Breakfast",49.1008,"OUT018","Medium","Tier 3","Supermarket Type2",596.954390713696
"158","FDS35",9.3,"Low Fat",0.11139344,"Breads",65.2826,"OUT049","Medium","Tier 1","Supermarket Type1",1182.79197375673
"159","DRK39",7.02,"Low Fat",0.049966527,"Dairy",82.525,"OUT045",NA,"Tier 2","Supermarket Type1",1238.54415485432
"160","DRI39",13.8,"Low Fat",0.097212998,"Dairy",58.293,"OUT049","Medium","Tier 1","Supermarket Type1",1021.33574122672
"161","FDV04",7.825,"Regular",0.150863781,"Frozen Foods",158.0288,"OUT017",NA,"Tier 2","Supermarket Type1",2669.81135376657
"162","NCN14",19.1,"Low Fat",0.091900406,"Others",182.5608,"OUT035","Small","Tier 2","Supermarket Type1",3015.99402150798
"163","FDH08",7.51,"Low Fat",0.017414576,"Fruits and Vegetables",231.101,"OUT013","High","Tier 3","Supermarket Type1",3728.99122462645
"164","FDS20",8.85,"Low Fat",0.053866912,"Fruits and Vegetables",183.0292,"OUT046","Small","Tier 1","Supermarket Type1",2947.88700715172
"165","FDV40",17.35,"Low Fat",0.014714625,"Frozen Foods",75.4038,"OUT049","Medium","Tier 1","Supermarket Type1",1296.07867666319
"166","FDZ48",17.75,"Low Fat",0.127140836,"Baking Goods",110.5544,"OUT010",NA,"Tier 3","Grocery Store",-129.311130891248
"167","FDS24",NA,"Regular",0.061923154,"Baking Goods",87.5514,"OUT027","Medium","Tier 3","Supermarket Type3",2914.76689795195
"168","FDK44",16.6,"Low Fat",0.122417514,"Fruits and Vegetables",174.3738,"OUT049","Medium","Tier 1","Supermarket Type1",2895.24143477748
"169","FDS48",15.15,"Low Fat",0,"Baking Goods",150.4708,"OUT045",NA,"Tier 2","Supermarket Type1",2321.85888554384
"170","FDK26",5.46,"Regular",0.053858378,"Canned",186.924,"OUT010",NA,"Tier 3","Grocery Store",1150.60673178478
"171","FDD23",9.5,"Regular",0.048784266,"Starchy Foods",188.5898,"OUT045",NA,"Tier 2","Supermarket Type1",2993.20860785457
"172","NCH54",13.5,"LF",0.073080167,"Household",161.492,"OUT017",NA,"Tier 2","Supermarket Type1",2628.10917753966
"173","NCP14",8.275,"Low Fat",0.184602443,"Household",106.5306,"OUT010",NA,"Tier 3","Grocery Store",-238.893272496771
"174","FDM60",10.8,"Regular",0.080582001,"Baking Goods",39.4138,"OUT010",NA,"Tier 3","Grocery Store",-1210.14821756474
"175","FDV24",5.635,"Low Fat",0.103856487,"Baking Goods",151.305,"OUT017",NA,"Tier 2","Supermarket Type1",2488.71055092562
"176","FDH08",7.51,"Low Fat",0.017500079,"Fruits and Vegetables",228.801,"OUT018","Medium","Tier 3","Supermarket Type2",3385.59630207199
"177","FDS12",NA,"Low Fat",0.173275373,"Baking Goods",127.6362,"OUT027","Medium","Tier 3","Supermarket Type3",3499.81350247142
"178","FDR39",NA,"Low Fat",0.083393481,"Meat",180.6292,"OUT027","Medium","Tier 3","Supermarket Type3",4316.33139256898
"179","FDP12",NA,"Regular",0.0450476,"Baking Goods",36.4874,"OUT027","Medium","Tier 3","Supermarket Type3",2119.35466171548
"180","DRF60",NA,"Low Fat",0.051816577,"Soft Drinks",236.4564,"OUT027","Medium","Tier 3","Supermarket Type3",5162.82910321026
"181","FDC09",15.5,"Regular",0.026297031,"Fruits and Vegetables",102.7332,"OUT035","Small","Tier 2","Supermarket Type1",1870.22434447854
"182","FDF50",4.905,"low fat",0.117808305,"Canned",198.5768,"OUT018","Medium","Tier 3","Supermarket Type2",2961.74498504648
"183","FDG28",9.285,"Regular",0.049270974,"Frozen Foods",243.9144,"OUT035","Small","Tier 2","Supermarket Type1",4022.59926348087
"184","NCE19",8.97,"Low Fat",0.093540749,"Household",55.4956,"OUT017",NA,"Tier 2","Supermarket Type1",1019.1573135149
"185","NCM53",18.75,"Low Fat",0.087105823,"Health and Hygiene",108.228,"OUT010",NA,"Tier 3","Grocery Store",-202.986098941518
"186","NCN18",8.895,"Low Fat",0,"Household",110.9544,"OUT049","Medium","Tier 1","Supermarket Type1",1855.0401902938
"187","FDF32",16.35,"Low Fat",0.068068082,"Fruits and Vegetables",199.1426,"OUT035","Small","Tier 2","Supermarket Type1",3327.45259977285
"188","FDF11",10.195,"Regular",0.01761655,"Starchy Foods",239.4538,"OUT013","High","Tier 3","Supermarket Type1",3889.99644168071
"189","DRI59",9.5,"Low Fat",0.040898157,"Hard Drinks",225.2088,"OUT049","Medium","Tier 1","Supermarket Type1",3666.57149051911
"190","NCG54",12.1,"Low Fat",0.079791176,"Household",169.5106,"OUT035","Small","Tier 2","Supermarket Type1",2806.660598192
"191","FDM44",12.5,"Low Fat",0.031049674,"Fruits and Vegetables",101.399,"OUT046","Small","Tier 1","Supermarket Type1",1670.26552040506
"192","FDT57",15.2,"Low Fat",0.019112323,"Snack Foods",236.2248,"OUT018","Medium","Tier 3","Supermarket Type2",3444.84326284508
"193","FDV24",5.635,"Low Fat",0.103272336,"Baking Goods",151.205,"OUT046","Small","Tier 1","Supermarket Type1",2427.39017080207
"194","FDI50",NA,"Regular",0.054001526,"Canned",227.8352,"OUT019","Small","Tier 1","Grocery Store",1774.94157704277
"195","FDS09",8.895,"Regular",0.081073148,"Snack Foods",51.2008,"OUT035","Small","Tier 2","Supermarket Type1",1038.80758577285
"196","NCC31",NA,"Low Fat",0.019774239,"Household",154.5972,"OUT027","Medium","Tier 3","Supermarket Type3",3876.60288147397
"197","FDQ07",NA,"Regular",0.153038134,"Fruits and Vegetables",219.0456,"OUT019","Small","Tier 1","Grocery Store",1642.81331204192
"198","FDC22",6.89,"Regular",0.13720009,"Snack Foods",191.882,"OUT017",NA,"Tier 2","Supermarket Type1",3213.93027702533
"199","FDZ56",16.25,"Low Fat",0.02573698,"Fruits and Vegetables",169.3474,"OUT046","Small","Tier 1","Supermarket Type1",2720.8869387917
"200","FDZ40",NA,"Low Fat",0.070354806,"Frozen Foods",53.9298,"OUT019","Small","Tier 1","Grocery Store",-1027.11402852395
"201","FDS46",NA,"Regular",0.047028483,"Snack Foods",118.3782,"OUT027","Medium","Tier 3","Supermarket Type3",3384.77557456582
"202","DRD24",13.85,"Low Fat",0.030857538,"Soft Drinks",140.6154,"OUT045",NA,"Tier 2","Supermarket Type1",2143.71827345078
