"","Item_Identifier","Item_Weight","Item_Fat_Content","Item_Type","Item_MRP","Outlet_Identifier","Outlet_Establishment_Year","Outlet_Size","Outlet_Location_Type","Outlet_Type","Item_Outlet_Sales"
"144","NCY06",15.25,"Low Fat","Household",128.5968,"OUT035",2004,"Small","Tier 2","Supermarket Type1",2294.15797341833
"145","FDE52",10.395,"Regular","Dairy",89.5514,"OUT035",2004,"Small","Tier 2","Supermarket Type1",2182.35237314813
"146","NCB54",8.76,"Low Fat","Health and Hygiene",126.9336,"OUT045",2002,"High","Tier 2","Supermarket Type1",1833.70469535212
"147","NCF31",9.13,"Low Fat","Household",152.6024,"OUT035",2004,"Small","Tier 2","Supermarket Type1",2011.24437542017
"148","FDJ08",11.5167773849359,"Low Fat","Fruits and Vegetables",189.7846,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",4761.75534541345
"149","NCC07",19.6,"Low Fat","Household",106.0964,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",1301.57433579952
"150","NCD19",13.6785353745361,"Low Fat","Household",53.7614,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",2322.37510008995
"151","FDL46",20.35,"Low Fat","Snack Foods",118.9466,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",1370.5899688133
"152","FDM20",10,"Low Fat","Fruits and Vegetables",246.2144,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",4625.54751580495
"153","NCI06",11.3,"Low Fat","Household",180.466,"OUT010",1998,"High","Tier 3","Grocery Store",1585.72079237068
"154","DRM11",6.57,"Low Fat","Hard Drinks",259.3278,"OUT035",2004,"Small","Tier 2","Supermarket Type1",3973.57330951684
"155","NCH07",13.15,"Low Fat","Household",158.4604,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",2326.37759776791
"156","FDS23",4.635,"Low Fat","Breads",129.4994,"OUT013",1987,"High","Tier 3","Supermarket Type1",2203.2065361698
"157","FDO49",10.6,"Regular","Breakfast",49.1008,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",650.674359648719
"158","FDS35",9.3,"Low Fat","Breads",65.2826,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",1026.6522706962
"159","DRK39",7.02,"Low Fat","Dairy",82.525,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",1249.08960284518
"160","DRI39",13.8,"Low Fat","Dairy",58.293,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",1467.0013617796
"161","FDV04",7.825,"Regular","Frozen Foods",158.0288,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",1575.27327552829
"162","NCN14",19.1,"Low Fat","Others",182.5608,"OUT035",2004,"Small","Tier 2","Supermarket Type1",2458.58190709342
"163","FDH08",7.51,"Low Fat","Fruits and Vegetables",231.101,"OUT013",1987,"High","Tier 3","Supermarket Type1",3243.80457613062
"164","FDS20",8.85,"Low Fat","Fruits and Vegetables",183.0292,"OUT046",1997,"Small","Tier 1","Supermarket Type1",2866.68596788924
"165","FDV40",17.35,"Low Fat","Frozen Foods",75.4038,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",859.489919405775
"166","FDZ48",17.75,"Low Fat","Baking Goods",110.5544,"OUT010",1998,"High","Tier 3","Grocery Store",-252.185806828647
"167","FDS24",11.8596925458863,"Regular","Baking Goods",87.5514,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",2713.0390531502
"168","FDK44",16.6,"Low Fat","Fruits and Vegetables",174.3738,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",1960.7064273902
"169","FDS48",15.15,"Low Fat","Baking Goods",150.4708,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",2006.60517725538
"170","FDK26",5.46,"Regular","Canned",186.924,"OUT010",1998,"High","Tier 3","Grocery Store",1482.79644923467
"171","FDD23",9.5,"Regular","Starchy Foods",188.5898,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",3247.07013832531
"172","NCH54",13.5,"LF","Household",161.492,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",2313.32284774365
"173","NCP14",8.275,"Low Fat","Household",106.5306,"OUT010",1998,"Medium","Tier 3","Grocery Store",489.973183157391
"174","FDM60",10.8,"Regular","Baking Goods",39.4138,"OUT010",1998,"Small","Tier 3","Grocery Store",-1219.88616416673
"175","FDV24",5.635,"Low Fat","Baking Goods",151.305,"OUT017",2007,"High","Tier 2","Supermarket Type1",2180.96212057646
"176","FDH08",7.51,"Low Fat","Fruits and Vegetables",228.801,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",2928.61061871562
"177","FDS12",13.6106957908719,"Low Fat","Baking Goods",127.6362,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",3925.26568382734
"178","FDR39",16.4703709710965,"Low Fat","Meat",180.6292,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",5153.25910764788
"179","FDP12",10.827803230008,"Regular","Baking Goods",36.4874,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",1836.85767971465
"180","DRF60",10.4176581308248,"Low Fat","Soft Drinks",236.4564,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",6119.23268523462
"181","FDC09",15.5,"Regular","Fruits and Vegetables",102.7332,"OUT035",2004,"Small","Tier 2","Supermarket Type1",1487.86856320864
"182","FDF50",4.905,"low fat","Canned",198.5768,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",2866.43986864828
"183","FDG28",9.285,"Regular","Frozen Foods",243.9144,"OUT035",2004,"Small","Tier 2","Supermarket Type1",2650.47993695567
"184","NCE19",8.97,"Low Fat","Household",55.4956,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",1156.26613350095
"185","NCM53",18.75,"Low Fat","Health and Hygiene",108.228,"OUT010",1998,"Small","Tier 3","Grocery Store",-272.134639599582
"186","NCN18",8.895,"Low Fat","Household",110.9544,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",2738.4906147962
"187","FDF32",16.35,"Low Fat","Fruits and Vegetables",199.1426,"OUT035",2004,"Small","Tier 2","Supermarket Type1",2416.31395703687
"188","FDF11",10.195,"Regular","Starchy Foods",239.4538,"OUT013",1987,"High","Tier 3","Supermarket Type1",3272.72126958712
"189","DRI59",9.5,"Low Fat","Hard Drinks",225.2088,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",3895.5735908852
"190","NCG54",12.1,"Low Fat","Household",169.5106,"OUT035",2004,"Small","Tier 2","Supermarket Type1",3650.90432980692
"191","FDM44",12.5,"Low Fat","Fruits and Vegetables",101.399,"OUT046",1997,"Small","Tier 1","Supermarket Type1",1588.55484502033
"192","FDT57",15.2,"Low Fat","Snack Foods",236.2248,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",3138.22527333759
"193","FDV24",5.635,"Low Fat","Baking Goods",151.205,"OUT046",1997,"Small","Tier 1","Supermarket Type1",2019.53369066418
"194","FDI50",10.770306841126,"Regular","Canned",227.8352,"OUT019",1985,"Small","Tier 1","Grocery Store",3086.38504753204
"195","FDS09",8.895,"Regular","Snack Foods",51.2008,"OUT035",2004,"Small","Tier 2","Supermarket Type1",945.073626142113
"196","NCC31",11.937780197384,"Low Fat","Household",154.5972,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",3710.12071626862
"197","FDQ07",11.7140143650604,"Regular","Fruits and Vegetables",219.0456,"OUT019",1985,"Small","Tier 1","Grocery Store",1460.72718118859
"198","FDC22",6.89,"Regular","Snack Foods",191.882,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",2961.49997125912
"199","FDZ56",16.25,"Low Fat","Fruits and Vegetables",169.3474,"OUT046",1997,"Small","Tier 1","Supermarket Type1",2834.58188246837
"200","FDZ40",12.4945995640681,"Low Fat","Frozen Foods",53.9298,"OUT019",1985,"Small","Tier 1","Grocery Store",-1320.77289097716
"201","FDS46",12.6397834023789,"Regular","Snack Foods",118.3782,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",3550.45963398827
"202","DRD24",13.85,"Low Fat","Soft Drinks",140.6154,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",1978.3059081013
"203","FDV45",16.75,"Low Fat","Snack Foods",189.1556,"OUT017",2007,"High","Tier 2","Supermarket Type1",3778.14100206535
"204","FDL26",18,"Low Fat","Canned",155.7972,"OUT045",2002,"High","Tier 2","Supermarket Type1",3147.60524744187
"205","FDA56",9.21,"Low Fat","Fruits and Vegetables",123.0414,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",2191.40988145741
"206","FDN27",20.85,"Low Fat","Meat",118.1808,"OUT046",1997,"Small","Tier 1","Supermarket Type1",1446.09619190568
"207","FDM20",10,"Low Fat","Fruits and Vegetables",245.0144,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",4782.66966938901
"208","FDO16",5.48,"Low Fat","Frozen Foods",82.825,"OUT017",2007,"High","Tier 2","Supermarket Type1",2279.65075244922
